Project_Index	Project Title	Short Name	Studio	Participants	Type	No_of_Photos	No_of_Videos	Video_Load	Tags	Full Description	Date
0	3D Visualization for Center for the Arts at Virginia Tech	Center for the Arts	Image	"Dane Webster, Chris Russell, Mallory Brangan"	3D Visualization	0	1	1	"Multidisciplinary project, real-world applications, 3D visualization, studio art, biochemistry"	"For Dane Webster, an associate professor of animation and 3D modeling and area coordinator of creative technologies in the College of Architecture and Urban Studies School of Visual Arts, one of the most important parts of his job is cultivating students passion for art and technology and providing them with the opportunities to explore their creative ideas. Webster encourages students to pursue their interests by working on large, collaborative, often multidisciplinary projects with real-world applications, including the creation of a 3D visualization for the new Center for the Arts at Virginia Tech.With help from two of his students (Chris Russell of Atlanta, Ga., a senior majoring in studio art, and Mallory Brangan of Norfolk, Va., a senior majoring in biochemistry and studio art) Dane Webster used models and single-frame renderings from architecture firms Snohetta and STV to create a virtual fly through of the center. Fly throughs are animated videos that allow users to virtually move through a structure, getting a close-up view of a building."	None Listed
1	A Crowd Modeling Framework for Socially Plausible Animation Behaviors	Crowd Modeling	Image	"Yong Cao, Chao Peng"	3D Simulation	0	1	0	"Crowd modeling, animated behaviors,human interaction, animation"	"We present a framework for crowd modeling that produces socially plausible animation behaviors. Our high-level behavioral model is able to produce appropriate animated behavior that includes synchronized body-orientation and gesture of individual actors within the simulation. Because the model operationalizes a well-founded social-linguistic Common Ground (CG) theory of human interaction, the behavior chains form meaningful interactions among the actors. The model includes micro-behaviors relating to CG theory, and macro-behavior relating to the animation context. This allows reuse of the micro-behaviors as animation contexts change and flexible adaptation to different animation contexts."	None Listed
2	A GPU-based Approach for Massive Model Rendering with Frame-to-Frame Coherence	GPU - Massive Models 	Image	"Yong Cao, Chao Peng"	Rendered 3D Models	0	1	0	"Massive rendering, GPU"	"Rendering massive 3D models in real-time has long been recognized as a very challenging problem because of the limited computational power and memory space available in a workstation. Most existing rendering techniques, especially level of detail (LOD) processing, have suffered from their sequential execution natures. We present a GPU-based approach which enables the interactive rendering of large 3D models with hundreds of millions of triangles. Our work contributes to the massive rendering research in two ways. First, we propose a GPU-based streaming approach which adopt a frame-to-frame coherence scheme in order to minimize the high communication cost between CPU and GPU. Second, we present a simple and effcient mesh simplification algorithm towards GPU architecture. Our results show that GPU-based streaming approach and the parallel mesh simplification algorithm significantly improve the overall rendering performance."	None Listed
3	A Motion Graph Approach for Interactive 3D Animation using Low-cost Sensors	Motion Graph	Image	"Yong Cao, Student"	Sensor Motion Graphic	0	1	1	"3D animation, interactive, motion graph"	"Interactive 3D animation of human figures is very common in video games, animation studios and virtual environments. However, it is difficult to produce full body animation that looks realistic enough to be comparable to studio quality human motion data. The commercial motion capture systems are expensive and not suitable for capture in everyday environments. Real-time requirements tend to reduce quality of animation. We present a motion graph based framework to produce high quality motion sequences in real-time using a set of inertial sensor based controllers. The user's action generates signals from the controllers that provide constraints to select appropriate sequence of motions from a structured database of human motions, namely motion graph. Our local search algorithm utilizes noise prone and rapidly varying input sensor signals for querying a large database in real-time. The ability to waive the controllers for producing high quality animation provides a simple 3D user interface that is intuitive to use. The proposed framework is low cost and easy to setup."	None Listed
4	A Real-time system of Crowd Rendering: Parallel LOD and Texture Preserving Approach on GPU	Real-time Crowd Rendering	Image	"Yong Cao, Chao Peng"	3D real-time crowd rendering system	0	1	0	"Real-time crowd rendering system, texture appearance"	"In modern games, rendering a massive scene with a large number of animated character is imminent and a very challenging task. We present a real-time crowd rendering system on GPUs with a special focus on how to preserve texture appearance in progressive LOD-based mesh simplification algorithms. Our results show that the proposed parallel LOD approach can get up to 5.33 times of speedup compared with the standard pseudo-instancing approach."	None Listed
5	Blinded	Blinded	Interact	None Listed	Performance piece	0	0	0	"Performance, local, global, conditions, New River Valley, globilization"	Not Listed	None Listed
6	Building Home Project	Building Home	Interact	"Department of Theatre & Cinema at Virginia Tech, New River Valley Planning District Commission (NRVPDC)"	Participatory theatre and music project	0	0	0	"Theater, music, New River Valley"	"Participatory theatre and music project that links the Department of Theatre & Cinema at Virginia Tech with the New River Valley Planning District Commission (NRVPDC) and its 3-year regional planning process, The Livability Initiative. To help gather qualitative data on community membersÕ thoughts and feelings about life in the region, and integrate these into the NRVPDCÕs planning process."	None Listed
7	Drummer Game	Drummer Game	Image	"Dane Webster, Yong Cao, Ico Bukvic, Franics Quek, Steve Harrison"	Video Game	0	1	1	Gaming	"Dane Webster, assistant professor of animation and 3D modeling and area coordinator of creative technologies in the College of Architecture and Urban StudiesÕ School of Visual Arts, and his students are creating Drummer Game. The project is funded by the National Science Foundation in collaboration with Yong Cao, assistant professor of computer science in the College of Engineering, and Ico Bukvic, assistant professor of music in the College of Liberal Arts and Human Sciences. Drummer Game is a real-time strategy game in which players control an army of terra cotta warriors by using Chinese drums as controllers. See the related Spotlight article: Collaborative project provides new perspective of Center for the Arts"	None Listed
8	Christiansburg Institute Oral History Project	Oral History - Christiansburg	Interact	"Students in two of Dr. David Cline's Oral History Classes, Christiansburg Institute, Inc., Christiansburg Institute Alumni Association"	Oral history interviews	0	0	0	"Oral History, alumni, interviews"	"During the Fall 2012 semester students in two of Dr. David Cline's (History Dept.) Oral History classes will be working in conjunction with the Christiansburg Institute, Inc. and the Christiansburg Institute Alumni Association to record oral history interviews with alumni and other individuals associated with Christiansburg Institute."	Fall 2012
9	Community calendar syndication hubs	Community Calendar	Interact	None Listed	Web-based community information management	0	0	0	"Web, community, information management, hubs"	"A breakthrough technology in web-based community information management: Deploying a Microsoft infrastructure to supportattention hubsÊcurated by regional arts councils, theatre and cinema groups, technology councils, newspapers, hyperlocal blogs, chambers of commerce, history museums, sports councils, universities."	None Listed
